VPD_kPa,GPP,Gs_mol,SWC
0.6066,0.195744,0.005628342,9.202
1.0675,0.382949,0.002412816,6.063
0.9525,0.268396,0.002441793,4.492
1.409,0.395472,0.002160668,4.364
1.9228,0.617494,0.002053583,3.386
2.7271,0.857764,0.001325457,2.098
3.2354,0.602381,0.001164591,2.579
1.7806,1.80987,0.006710876,6.857
2.1354,1.99726,0.00447808,3.904
1.6909,2.62574,0.00577143,5.847
1.9164,0.947477,0.00170977,2.666
1.4113,0.325153,0.001704946,3.52
0.7888,0.143461,0.0036646,6.304
0.78,0.0254348,0.004913483,8.281
1.5899,0.31745,0.0018348,4.674
1.801,0.322891,0.000920783,2.632
2.447,0.477207,0.000984361,2.138
3.6182,0.032454,0.000571368,1.764
1.9375,1.43145,0.005566952,6.55
1.9445,2.23157,0.005661395,5.271
